,Star name,HR,Star X position,Star Y position,Star Z position,Sum EUV+FUV
0, 88Gam Peg,39.0,0.9634822534593073,0.15533555987996298,0.21811192334614274,1500231.2377929688
1, 17Zet Cas,153.0,0.5815889305056579,0.40835305216528733,0.7035638568748249,571789.7016601562
2, 27Gam Cas,264.0,0.4742316012147192,0.45699830512594414,0.7525004568246706,2455140.1030273438
3,   Alp Eri,472.0,0.49272263771783664,-0.1293178737653277,-0.8605238461572068,6303216.26953125
4, 45Eps Cas,542.0,0.3894256938590399,0.5514386913667536,0.737741823828721,357028.39086475363
5, 39Del Per,1122.0,0.37832037353346964,0.8041318563838875,0.45852552002925495,345370.36726379395
6,   Gam Cam,1148.0,0.17155671713640755,0.6249160094319641,0.7616090033350497,10159.749057397246
7, 44Zet Per,1203.0,0.4432494862510201,0.8746280665591287,0.19635589658894093,317407.2865524292
8, 45Eps Per,1220.0,0.3891606791923795,0.8610631196532105,0.32729844140112685,1407062.8040771484
9, 35Lam Tau,1239.0,0.485655564210542,0.8630860075906066,-0.13864060174655674,392643.024810791
10,   Del Cae,1443.0,0.26843190986259274,0.31954318965661843,-0.9087554454921276,165675.9768371582
11, 94Tau Tau,1497.0,0.3064408344914888,0.9518104681578371,0.012282005590244782,195660.8410797119
12,  3Pi 4Ori,1552.0,0.2942667129033158,0.9110650042225372,-0.28873458358510734,392591.5509338379
13, 10Eta Aur,1641.0,0.17391173201667373,0.9335103535632399,0.313549245346238,650870.2529296875
14, 19Bet Ori,1713.0,0.19505019185902725,0.8334479746207659,-0.5170298794618158,3099362.3701171875
15,  6Lam Lep,1756.0,0.17085427979197768,0.7886801947073512,-0.5905864589991366,594984.5006103516
16, 28Eta Ori,1788.0,0.15424486539713553,0.8889732022708546,-0.4312020027120951,752091.7205200195
17, 24Gam Ori,1790.0,0.15062586274026427,0.9452593772319312,-0.289476353488247,4170813.3149414062
18,112Bet Tau,1791.0,0.12865981900931234,0.9872554661418399,0.09366587182933384,1132375.9485435486
19, 34Del Ori,1852.0,0.12183873821353775,0.9084824721481495,-0.39976858264515985,3331407.3579101562
20, 36Ups Ori,1855.0,0.12118187268347344,0.8525773319016423,-0.5083570072895656,488814.41024780273
21, 39Lam Ori,1879.0,0.10664368267368289,0.9669935681155098,-0.23140994829313158,1038096.7875976564
22, 44Iot Ori,1899.0,0.10641855609437395,0.8663187468741421,-0.488023482768201,2461489.0256347656
23, 46Eps Ori,1903.0,0.10357994672111923,0.9039226277756371,-0.4149639473887301,3989140.2973632812
24,123Zet Tau,1910.0,0.09083201266339684,0.9951218153646584,-0.03849828646658271,802283.5150146484
25, 48Sig Ori,1931.0,0.0925069429818018,0.8944732745868712,-0.4374471700102781,923149.3479003906
26, 50Zet Ori,1948.0,0.08381081474499927,0.900159761007999,-0.4274203457883133,4779925.6962890625
27,   Mu  Col,1996.0,0.05160454107339572,0.5612661392566406,-0.8260249949393477,326413.0336303711
28, 53Kap Ori,2004.0,0.052637508176843095,0.8362405233604274,-0.5458306329098899,2643531.9299316406
29,139    Tau,2084.0,0.007866069111409819,0.9990136929373813,0.04370087276416784,128473.78701782227
30, 67Nu  Ori,2159.0,-0.031940352104313355,0.9880581509848011,-0.15073454872705358,166258.9567565918
31,   Del Pic,2212.0,-0.02578505526028752,0.2002281928340527,-0.9794099252711466,391675.3101501465
32,  1Zet CMa,2282.0,-0.07660951552183617,0.591519007996943,-0.8026432864665486,854132.4864501953
33,  2Bet CMa,2294.0,-0.09406921395605836,0.7457663758630751,-0.6595327858550655,3892889.919921875
34,   Alp Car,2326.0,-0.06322195597490379,0.23641794887869394,-0.9695924596090352,381312.1852183342
35,  4Xi 1CMa,2387.0,-0.12713404583389673,0.6755584786393217,-0.7262628149151171,462002.5463562012
36, 15    Mon,2456.0,-0.17520443966619564,0.9577395098659229,-0.22811934499957665,962.9866193681955
37,  9Alp CMa,2491.0,-0.1874539807284399,0.7471837517999309,-0.637634257357022,6132092.787750244
38, 13Kap CMa,2538.0,-0.18195691870394187,0.5415683469795295,-0.8207285819840973,684221.1850585938
39, 15    CMa,2571.0,-0.21725413948809966,0.6998877654139399,-0.6804099901523839,276785.9205932617
40, 21Eps CMa,2618.0,-0.22135509713270507,0.5837222794094516,-0.7811979400218645,4367394.375
41, 24Omi2CMa,2653.0,-0.24838930714649884,0.6468419423648445,-0.7210397032708791,381862.67460632324
42, 30Tau CMa,2782.0,-0.30527827612314945,0.6153032823766207,-0.7267785390501253,413776.23962402344
43, 31Eta CMa,2827.0,-0.3128497699973753,0.5519957101244772,-0.7729332166602516,524666.3823242188
44,   Omi Pup,3034.0,-0.40856464896320305,0.5608821983734251,-0.7200597802720051,307107.7922363281
45,   Chi Car,3117.0,-0.29367245098042,0.1644311431370511,-0.9416575230421065,492409.00958251953
46,   Zet Pup,3165.0,-0.39333310334206967,0.34720672523035434,-0.8513146068112012,4571826.454589844
47, 16    Pup,3192.0,-0.5038877754858606,0.6012986045072457,-0.6201105529932139,165876.31301879883
48,   Gam2Vel,3207.0,-0.3629575667294329,0.23239928336275412,-0.9023593396459791,5993444.532714844
49,  7Eta Hya,3454.0,-0.6523537562523594,0.7167777432739534,-0.24630112352674338,275250.5467376709
50,   Alp Pyx,3468.0,-0.5479257698136543,0.36251964422180644,-0.753894461000616,551632.4901123047
51,   Kap Vel,3734.0,-0.4426465250110089,0.008391826114930778,-0.8966569194235524,1460042.4783935547
52, 32Alp Leo,3982.0,-0.8645015607546076,0.5025661641948616,0.008018856484002301,1251151.909790039
53, 47Rho Leo,4133.0,-0.9162827024602892,0.4005241007916774,0.0025404442697116725,367305.01736450195
54,   The Car,4199.0,-0.4079830862922929,-0.22808011275782605,-0.8840414376395445,2518375.607421875
55,   Del Cen,4621.0,-0.6326559678105079,-0.32922438629377454,-0.7009691361702289,1616483.3580322266
56,   Del Cru,4656.0,-0.5176575357883381,-0.3716355894420784,-0.7706605376568755,1784796.4916992188
57,   Zet Cru,4679.0,-0.43690600779672006,-0.3899940431243187,-0.8105663370006673,314139.2454992295
58,   Alp1Cru,4730.0,-0.44940408890249206,-0.40295177552283645,-0.7972865428945322,14080925.920898438
59,   Alp2Cru,4731.0,-0.44939749504062615,-0.4029701969180769,-0.7972809491308673,13564423.9453125
60,   Alp Mus,4798.0,-0.3514810169205642,-0.42463270499552136,-0.8343549368180622,1755280.3735351562
61,   Bet Mus,4844.0,-0.3652804765777927,-0.43786018325539605,-0.8214917122836065,983939.3046875
62,   Bet Cru,4853.0,-0.49379820472884384,-0.439259937420752,-0.7504758759505117,8802192.352539062
63,   Mu 1Cru,4898.0,-0.5267284429649345,-0.45175447740688024,-0.7200521088883584,502755.9653930664
64,   Xi 2Cen,4942.0,-0.6167891050596523,-0.47448501288505673,-0.6280407410568047,339635.94943237305
